                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3844,                 0.9199,                 1.1265,                0.81724,                0.71566,                0.77989,                0.38979,                 1.8108,                 1.1043,                 1.3047,             9.0496e-05,             9.0496e-05,             9.0496e-05
                     51,                 1.3883,                0.89815,                 1.1504,                0.80279,                0.75868,                0.78364,                0.40869,                 1.7981,                 1.0601,                 1.2821,             9.0298e-05,             9.0298e-05,             9.0298e-05
                     52,                 1.4014,                0.93255,                 1.1534,                0.88382,                0.70769,                0.80184,                0.41738,                 1.7587,                 1.1338,                 1.2748,               9.01e-05,               9.01e-05,               9.01e-05
                     53,                 1.3045,                0.82042,                 1.1111,                0.82397,                0.73337,                 0.7736,                0.40282,                 1.7781,                 1.1554,                 1.2915,             8.9902e-05,             8.9902e-05,             8.9902e-05
                     54,                 1.2479,                0.77578,                 1.0902,                0.86829,                0.69335,                0.77682,                0.42758,                 1.7582,                 1.1479,                 1.3127,             8.9704e-05,             8.9704e-05,             8.9704e-05
                     55,                 1.3065,                0.83006,                 1.1105,                0.85499,                0.68938,                0.77738,                0.40496,                 1.7754,                 1.1965,                 1.3234,             8.9506e-05,             8.9506e-05,             8.9506e-05
                     56,                 1.3082,                0.92153,                 1.1385,                0.81342,                0.72373,                0.78114,                0.41033,                 1.7483,                 1.1269,                 1.3236,             8.9308e-05,             8.9308e-05,             8.9308e-05
                     57,                 1.3464,                0.85307,                 1.1202,                0.86703,                0.73173,                 0.8019,                0.38914,                 1.8441,                 1.1143,                 1.3562,              8.911e-05,              8.911e-05,              8.911e-05
                     58,                 1.2887,                0.80095,                  1.099,                0.85187,                0.72821,                0.79468,                0.40324,                 1.7486,                 1.0952,                 1.3106,             8.8912e-05,             8.8912e-05,             8.8912e-05
                     59,                   1.27,                0.80034,                 1.1115,                0.85177,                0.71476,                0.79195,                0.40839,                 1.7383,                 1.1272,                 1.2756,             8.8714e-05,             8.8714e-05,             8.8714e-05
                     60,                 1.3369,                0.88046,                 1.1549,                0.83771,                0.76856,                0.81103,                0.39313,                 1.7928,                 1.1095,                 1.3246,             8.8516e-05,             8.8516e-05,             8.8516e-05
                     61,                  1.214,                0.79692,                 1.0784,                 0.8469,                 0.7348,                0.80776,                0.40197,                 1.7968,                 1.1414,                 1.3197,             8.8318e-05,             8.8318e-05,             8.8318e-05
                     62,                 1.2376,                0.83976,                 1.0858,                0.81207,                0.71091,                0.77979,                0.39214,                 1.7715,                 1.1333,                 1.2909,              8.812e-05,              8.812e-05,              8.812e-05
                     63,                  1.263,                0.79295,                 1.0667,                0.90978,                0.69377,                0.79497,                0.40997,                 1.8069,                 1.1445,                  1.329,             8.7922e-05,             8.7922e-05,             8.7922e-05
                     64,                 1.2934,                0.82414,                 1.1112,                0.84247,                0.72861,                 0.7881,                0.40036,                 1.7664,                 1.1186,                 1.2946,             8.7724e-05,             8.7724e-05,             8.7724e-05
                     65,                 1.2906,                0.82613,                 1.0691,                0.84088,                0.71502,                0.76541,                0.38877,                 1.8165,                  1.193,                 1.3191,             8.7526e-05,             8.7526e-05,             8.7526e-05
                     66,                 1.1938,                0.80274,                 1.0842,                0.85959,                0.68674,                0.76854,                0.39975,                 1.8023,                 1.1388,                 1.3012,             8.7328e-05,             8.7328e-05,             8.7328e-05
                     67,                  1.214,                0.76536,                 1.0672,                 0.8184,                0.72088,                0.76938,                0.40081,                 1.8826,                 1.1451,                 1.3407,              8.713e-05,              8.713e-05,              8.713e-05
